Date,Location
02/02/2015(37.7704534612349, -122.447094754103)
02/02/2015(37.7751462916539, -122.419257894814)
01/30/2015(37.7205466558837, -122.439319704092)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7833862379382, -122.409853729941)
02/02/2015(37.7256933575703, -122.452289660492)
02/02/2015(37.7634571930206, -122.419977853021)
01/30/2015(37.7962908193522, -122.411721445339)
01/30/2015(37.7606814128072, -122.424873511257)
02/02/2015(37.7721768876173, -122.492759924406)
02/01/2015(37.7826866886113, -122.490365597042)
02/04/2015(37.7602797190358, -122.465522160917)
02/01/2015(37.7828828638522, -122.486084716378)
02/02/2015(37.7811192121542, -122.412596970637)
02/02/2015(37.7148630090118, -122.45758514144)
02/02/2015(37.7148630090118, -122.45758514144)
02/02/2015(37.7852686309087, -122.403070000847)
02/02/2015(37.7381683051019, -122.389960179517)
01/30/2015(37.7142059812826, -122.442957459548)
02/02/2015(37.7312941487525, -122.378226008527)
02/02/2015(37.7103932288259, -122.407445487849)
02/02/2015(37.7103932288259, -122.407445487849)
02/02/2015(37.7103932288259, -122.407445487849)
02/02/2015(37.7845808066125, -122.414593411257)
02/02/2015(37.7845808066125, -122.414593411257)
02/02/2015(37.7122561827524, -122.417107986993)
02/02/2015(37.7605300871138, -122.398344691679)
01/29/2015(37.7493423431656, -122.438860145551)
02/02/2015(37.804271887891, -122.44827840533)
02/02/2015(37.804271887891, -122.44827840533)
02/02/2015(37.7545565620279, -122.419711251166)
02/02/2015(37.7822305870036, -122.41029351969)
02/02/2015(37.7822305870036, -122.41029351969)
02/02/2015(37.7836909533775, -122.40316136589)
02/02/2015(37.7864017954155, -122.423217673913)
02/02/2015(37.7864672409674, -122.415654629547)
02/02/2015(37.7256901689017, -122.474961434176)
02/02/2015(37.7264333788753, -122.403104571775)
02/02/2015(37.7340561320083, -122.412398375843)
02/02/2015(37.7210571460375, -122.475222189932)
02/02/2015(37.7888379056123, -122.389432577161)
02/01/2015(37.7570651494219, -122.41932208977)
02/02/2015(37.7832767266062, -122.414081138014)
02/02/2015(37.7832767266062, -122.414081138014)
01/21/2015(37.7994367295576, -122.420855875142)
02/02/2015(37.7931773025837, -122.407729769991)
